Date,Mkt-RF,SMB,HML,RF
2009-06-03,-1.39,0.79,-0.81,0
2009-06-04,1.18,0.11,1.14,0
2009-06-05,-0.19,0.15,-0.58,0
2009-06-08,-0.2,-1,0.64,0
2009-06-09,0.49,0.33,-0.25,0
2009-06-10,-0.35,-0.34,-0.45,0
2009-06-11,0.63,-0.26,0.34,0
2009-06-12,0.03,-0.17,-0.03,0
2009-06-15,-2.38,-0.3,-0.32,0
2009-06-16,-1.33,-0.08,-0.29,0
2009-06-17,-0.08,0.94,-0.99,0
2009-06-18,0.74,-0.67,0.43,0
2009-06-19,0.35,0.29,0.11,0
2009-06-22,-3.07,-0.33,-0.75,0
2009-06-23,0.08,-1.11,0.19,0
2009-06-24,0.78,0.23,-0.09,0
2009-06-25,2.19,0.8,0.03,0
2009-06-26,0.04,1.57,0.15,0
2009-06-29,0.82,-1.1,0.33,0
2009-06-30,-0.74,0.26,-0.21,0
